userReferenceCode|kodeReferensiPengguna
resultDate|tanggalHasil
inquiryId|idPermintaan
inquiryUserId|idPenggunaPermintaan
inquiryCreatedBy|dibuatOleh
inquiryMemberCode|kodeLJKPermintaan
inquiryOfficeCode|kodeCabangPermintaan
reportRequestPurposeCode|kodeTujuanPermintaan
inquiryDate|tanggalPermintaan
dataSetTotal|totalBagian
dataSetNumber|nomorBagian
corporate|perusahaan
reportNumber|nomorLaporan
latestDataYearMonth|posisiDataTerakhir
requestDate|tanggalPermintaan
corporateKeyWord|parameterPencarian
identityNumberName|namaBadanUsaha
estPlace|tempatPendirian
estCertDate|tanggalAktaPendirian
corporateDebtors|dataPokokDebitur
identityNumberName|namaDebitur
fullName|namaLengkap
taxId|npwp
companyType|bentukBu
goPublicFlag|goPublic
companyTypeDesc|bentukBuKet
estPlace|tempatPendirian
estCertNo|noAktaPendirian
estCertDate|tglAktaPendirian
member|pelapor
memberDesc|pelaporKet
createdDatetime|tanggalDibentuk
updatedDatetime|tanggalUpdate
address|alamat
subDistrict|kelurahan
district|kecamatan
city|kabKota
cityDesc|kabKotaKet
postalCode|kodePos
country|negara
countryDesc|negaraKet
latestAddCertNo|noAktaTerakhir
latestAddCertDate|tglAktaTerakhir
economicSector|sektorEkonomi
economicSectorDesc|sektorEkonomiKet
ratingAgency|pemeringkat
ratingAgencyDesc|pemeringkatKet
rating|peringkat
ratingDate|tanggalPemeringkatan
offclsSharehldrGroups|kelompokPengurusPemilik
member|kodeLJK
memberDesc|namaLJK
offclsSharehldrs|pengurusPemilik
identityNumberName|namaSesuaiIdentitas
identityNumber|nomorIdentitas
gender|kodeJenisKelamin
genderDesc|jenisKelamin
jobPosition|kodePosisiPekerjaan
jobPositionDesc|posisiPekerjaan
shareOwnership|prosentaseKepemilikan
shareholderStatus|kodeStatusPengurusPemilik
shareholderStatusDesc|statusPengurusPemilik
facilitySummary|ringkasanFasilitas
originalCreditLimit|plafonEfektifKreditPembiayaan
originalLcLimit|plafonEfektifLc
originalBgLimit|plafonEfektifGyd
originalSecLimit|plafonEfektifSec
originalOtherLimit|plafonEfektifLain
originalTotalLimit|plafonEfektifTotal
currentCreditLimit|bakiDebetKreditPembiayaan
currentLcLimit|bakiDebetLc
currentBgLimit|bakiDebetGyd
currentSecLimit|bakiDebetSec
currentOtherLimit|bakiDebetLain
currentTotalLimit|bakiDebetTotal
numberOfBank|krediturBankUmum
numberOfRuralBank|krediturBPR/S
numberOfFinancingCompany|krediturLp
