userReferenceCode|kodeReferensiPengguna
resultDate|tanggalHasil
inquiryId|idPermintaan
inquiryUserId|idPenggunaPermintaan
inquiryCreatedBy|dibuatOleh
inquiryMemberCode|kodeLJKPermintaan
inquiryOfficeCode|kodeCabangPermintaan
reportRequestPurposeCode|kodeTujuanPermintaan
inquiryDate|tanggalPermintaan
dataSetTotal|totalBagian
dataSetNumber|nomorBagian
reportNumber|nomorLaporan
latestDataYearMonth|posisiDataTerakhir
requestDate|tanggalPermintaan
individualKeyword|parameterPencarian
identityNumberName|namaDebitur
gender|jenisKelamin
genderDesc|jenisKelaminKet
identityNumber|noIdentitas
taxId|npwp
birthPlace|tempatLahir
birthDate|tanggalLahir
individualDebtors|dataPokokDebitur
fullName|namaDebitur
identityNumberType|identitas
identityNumber|noIdentitas
address|alamat
member|pelapor
memberDesc|pelaporKet
createdDatetime|tanggalDibentuk
updatedDatetime|tanggalUpdate
subDistrict|kelurahan
district|kecamatan
city|kabKota
cityDesc|kabKotaKet
postalCode|kodePos
country|negara
countryDesc|negaraKet
occupation|pekerjaan
occupationDesc|pekerjaanKet
workCompanyName|tempatBekerja
economicSector|bidangUsaha
economicSectorDesc|bidangUsahaKet
academicDegree|kodeGelarDebitur
academicDegreeDesc|statusGelarDebitur
facilitySummary|ringkasanFasilitas
numberOfBank|krediturBankUmum
worstCollectibilityColCode|kualitasTerburuk
worstCollectibilityYearMonth|kualitasBulanDataTerburuk
originalCreditLimit|plafonEfektifKreditPembiayaan
originalLcLimit|plafonEfektifLc
originalBgLimit|plafonEfektifGyd
originalSecLimit|plafonEfektifSec
originalOtherLimit|plafonEfektifLain
originalTotalLimit|plafonEfektifTotal
currentCreditLimit|bakiDebetKreditPembiayaan
currentLcLimit|bakiDebetLc
currentBgLimit|bakiDebetGyd
currentSecLimit|bakiDebetSec
currentOtherLimit|bakiDebetLain
currentTotalLimit|bakiDebetTotal
numberOfRuralBank|krediturBPR/S
numberOfFinancingCompany|krediturLp
numberOfOtherCreditor|krediturLainnya
facility|fasilitas
credits|kreditPembiayan
member|ljk
memberDesc|ljkKet
office|cabang
officeDesc|cabangKet
outstandingPrincipal|bakiDebet
createdDatetime|tanggalDibentuk
updatedDatetime|updatedDatetime
creditNature|sifatKreditPembiayaan
creditNatureDesc|sifatKreditPembiayaanKet
creditType|jenisKreditPembiayaan
creditTypeDesc|jenisKreditPembiayaanKet
financingScheme|akadKreditPembiayaan
financingSchemeDesc|akadKreditPembiayaanKet
accountNo|noRekening
initialContractNo|noAkadAwal
initialContractDate|tanggalAkadAwal
lastContractNo|noAkadAkhir
lastContractDate|tanggalAkadAkhir
creditStartDate|tanggalAwalKredit
startDate|tanggalMulai
dueDate|tanggalJatuhTempo
debtorCategory|kategoriDebiturKode
debtorCategoryDesc|kategoriDebiturKet
creditUsage|jenisPenggunaan
creditUsageDesc|jenisPenggunaanKet
economicSector|sektorEkonomi
economicSectorDesc|sektorEkonomiKet
governmentProgramFlag|kreditProgramPemerintah
governmentProgramFlagDesc|kreditProgramPemerintahKet
projectCity|lokasiProyek
projectCityDesc|lokasiProyekKet
currencyCode|valutaKode
interestRate|sukuBungaImbalan
interestRateType|jenisSukuBungaImbalan
interestRateTypeDesc|jenisSukuBungaImbalanKet
collectibility|kualitas
collectibilityDesc|kualitasKet
overdueDays|jumlahHariTunggakan
originalCreditLimit|plafonAwal
currentCreditLimit|plafon
nonPerformingReason|kodeSebabMacet
nonPerformingReasonDesc|sebabMacetKet
nonPerformingDate|tanggalMacet
overduePrincipalAmount|tunggakanPokok
overdueInterestAmount|tunggakanBunga
overdueFreq|frekuensiTunggakan
lateCharges|denda
restructureFreq|frekuensiRestrukturisasi
restructureEndDate|tanggalRestrukturisasiAkhir
condition|kondisi
conditionDesc|kondisiKet
conditionDate|tanggalKondisi
collaterals|agunan
collateralTypeDesc|jenisAgunanKet
collateralValueMember|nilaiAgunanMenurutLJK
updatedDatetime|tanggalUpdate
collateralRegNo|nomorAgunan
contractType|jenisPengikatan
contractTypeDesc|jenisPengikatanKet
contractDate|tanggalPengikatan
collateralOwnerName|namaPemilikAgunan
collateralAddress|alamatAgunan
collateralCity|kabKotaLokasiAgunan
collateralCityDesc|kabKotaLokasiAgunanKet
ownershipDocument|buktiKepemilikan
collateralValueTax|nilaiAgunanNjop
isInsuredFlag|asuransi
lcs|lc
bankGuarantees|garansiYgDiberikan
others|fasilitasLain
